"OSM_ID";"№";"Муниципальное образование";"Задолженность, руб";"Объем потребленной услуги, в натур. выражении"
"-1077203";"";"Алексинский р-н";"0.05";""
"-1748968";"";"Арсеньевский р-н";"";""
"-1748969";"";"Белевский р-н";"";""
"-1748970";"";"Богородицкий р-н";"66019.12";"15888.14"
"-1748971";"";"Веневский р-н";"";""
"-1748972";"";"Воловский р-н";"";""
"-1748973";"";"Донской р-н";"4300651.05";"402006.97"
"-1748974";"";"Дубенский р-н";"";""
"-1748975";"";"Ефремовский р-н";"";""
"-1748977";"";"Заокский р-н";"46762.99";"29015.05"
"-1748978";"";"Каменский р-н";"";""
"-1748979";"";"Кимовский р-н";"22038.54";"33681.88"
"-1748980";"";"Киреевский р-н";"";""
"-1748981";"";"Куркинский р-н";"";""
"-1748982";"";"Ленинский р-н";"";""
"-1748983";"";"Новогурово";"22859.53";"1568.54"
"-1741297";"";"Новомосковск";"3707576.55";"398948.76"
"-1748985";"";"Одоевский р-н";"";""
"-1748986";"";"Плавский р-н";"48636.69";"21974.00"
"-1748976";"";"Славный";"";""
"-1748987";"";"Суворовский р-н";"602415.56";"0.00"
"-1748988";"";"Теплоогаревский р-н";"";""
"-1748989";"";"Тула";"4363569.31";"347708.44"
"-1748990";"";"Узловский р-н";"1300357.79";"53060.12"
"-1453190";"";"Чернский р-н";"25842.97";"7929.51"
"-1524022";"";"Щекинский";"601099.96";"0.00"
"-1748991";"";"Ясногорский р-н";"";""
"";"";"Всего";"15107830";"1311781.41"
